codigo,codbarras,descrip1art
6942189304620,6942189304620,METFORMINA 500MG X30 TABL KMP
6942189530203,6942189530203,AZITROMICINA SUSP 200MG/5ML KMPLUS
6942189530265,6942189530265,CARBAMAZEPINA 200 MG X10TAB  KMPLUS
6942189530302,6942189530302,ACETAMINOFEN 120MG/5ML X100ML KMPLUS
6942189530319,6942189530319,ACETAMINOFEN SUP ORAL 120ML KMPLUS
6942189530326,6942189530326,HIOSCINA BULTIBROMURO 10 MG X 10 TAB KMP
6942189530357,6942189530357,EMPAGLIFOZINA 10MG X 30 TAB KMPLUS
6942189530395,6942189530395,NITROFURANTOINA 100 MG X 10 TAB KMPLUS
6942189530401,6942189530401,TRIMEBUTINA 200MG X10 TABL KMPLUS
6972718560043,6972718560043,AZITROBLU 500MG X6 CAP BLUE MEDICAL
6972718560050,6972718560050,LEVOBLU LEVOFLOXACINA 500MG X 10TAB BLUE
6972718560074,6972718560074,CLOPIDROGREL 75MG X30 TABL BLE MEDICAL
6972718560180,6972718560180,SOLUCION 0.9% BLUE MEDICAL
NULL,6974546560363,SULFATO FERROSO+ACIDO FOLICO 200MG/0.25M
6974546560400,6974546560400,METFORM 500      MG + SITAGLIPTI 50    
6974546560486,6974546560486,NAFAZOLINA CLOHIDRATO 0,1% OFT 2N
6974546560943,6974546560943,CLOBETASOL PROPINATO 0.05% 30G  CREMA 2N
6974546561070,6974546561070,DOSPIRINA 81MG X100TABL 2N
6974546561094,6974546561094,LAGRIMAX FORTE 0.3/0.1 10 ML ZN
6975207581277,6975207581277,AGUA OXIGENADA VOL 20 X 100ML AMG
6977234270018,6977234270018,VITAMINA E 400UI X10 CAP 2N
6977234270032,6977234270032,VITAMINA C MASTICABLE X10 TABL 2N
6977234270070,6977234270070,FLADION DIOSMINA 450MG +HESOERID 50MG 2N
6977234270087,6977234270087,CLINDAMICINA 300MG X10CAP 2N
6977234270094,6977234270094,AMOXICILINA 500MG X 10 TAB 2N
6977234270100,6977234270100,TERBINAFINA X20 GR FV
6977234270186,6977234270186,GINAZOL/CLOTRIMAZOL X6 APLICADORES 2N
6977234270193,6977234270193,CEFADROXILO 500X 10 TAB 2N
6977234270339,6977234270339,DOSPIRINA 81MG X 100 TAB 2N
6977234270391,6977234270391,VITAMINA C PEDIATRICA EN 120ML 2N
6977234270438,6977234270438,RINAGRIP NOCHE 650MG+ 4MG  X 10 TAB 2N
6977234270452,6977234270452,AZITROMICINA 500MG X3 TABL 2N
6977234270469,6977234270469,BACITRACINAUNG X 15GR 2N
6977234270629,6977234270629,COFLUX /FLUCONAZOL 150MG X1 TABL 2N
6977234270698,6977234270698,TENSOLM OLMEARTAN 40MG X 30 TAB 2N
6977234270780,6977234270780,CIZTAMIN CETIRIZINA 5MG/5ML EN 60ML
6977234271046,6977234271046,LAGRIMAX FORTE 2N
6977234271336,6977234271336,NERGA 75MG /PREGABALINA X10 CAP N2
707150,707150,BIOSULFIL SULFADAZINA DE PLATA CREMA 30G
NULL,709220711,AMPICILINA 500MG X 10 TAB DROTAFARMA
714439705503,714439705503,GLUCOSAMINE/CHONDROITIN X30 VAL
714439705527,714439705527,L-CARNITINA VAL 500 X 30 CAP
720524031006,720524031006,LAMOTRIGINA 100MG X 30 TAB LATTAN
720524031037,720524031037,METRONIDAZOL 500MG X10 TABL LATTAN
720524031051,720524031051,DIGOXINA 0,25      MG X 30 TAB
720524031068,720524031068,PANTOPRAZOL 40MG X 14 TAB LATTAN
720524031136,720524031136,OXCARBAZEPINA
720524031174,720524031174,ACICLOVIR 200MG X 10 TAB LATTAN
720524031198,720524031198,ESCITALOPRAM 10 MGX14TABL LAB. LATTAN M
720524031211,720524031211,OLANZAPINA 10MGX14 TABL LATTAN
720524031228,720524031228,METFORMINA 850 X30 LATTAN
724373531052,724373531052,TELMISARTAN 80MG X 30 COM SNC PHARMA
724373531069,724373531069,MIPAX PRAMIPEXOL  0.25 X30 COMP SNC
724373570631,724373570631,CEFIXIMA SUSP 100MG/5ML KMPLUS
730170648954,730170648954,BISACODILO 0.5MG X10 TABL KMPLUS
NULL,730170648992,ROSUVASTATINA 20MG X10 TABL KMPLUS
730170649012,730170649012,MONTELUKAS 10 MG X 10 TAB KMPLUS
730170649098,730170649098,SITAGLIPTINA/METFORMINA 50MG/500 X10 KMP
NULL,730170649128,ACIDO TRANEXAMICO 500MG X 10 TAB KMPLUS
NULL,730170649135,ALBENDAZOL 400MG X 10 TAB KMPLUS
NULL,730170649180,BISOPROLOL 10 MG X 10 TAB KMPLUS
730170649272,730170649272,DESLORATADINA 5 MG X 10 TAB KMPLUS
NULL,730170649289,DEXAMETASONA 8MG X 10 TAB KMPLUS
NULL,730170649418,NIMESULIDA 100 MG X 10 KMPLUS
730170649425,730170649425,PANTOPRAZOL 40MG X10 TABL KMPLUS
730170649456,730170649456,RIVAROXABAN 10MG X14 TABL KMPLUS
730170649500,730170649500,IBUPROFE 600MG/TIOCOLCHI 4MG X 10 TAB KM
730170649524,730170649524,SUCRALFATO 1GR X20 TABL KMPLUS
730170649531,730170649531,SUCRALFATO SUSP ORAL 1MG/5ML KMPLUS
730170649579,730170649579,FLAVOXATO 200MG X 20 TAB KMPLUS
730170649593,730170649593,ACIDO VALPROICO 500MGR X30 TABL KMPLUS
731299120987,731299120987,CEFEPIMA 1GR X 1 AMPO ZIEL
NULL,731946648451,CIPROFLOXACINA 500MG X 10 TAB ARTE M
731946648482,731946648482,LOSARTAN POT TAB 50      MG X10
731946648529,731946648529,LEVOFLOXACINO 500MG X 10 TAB ARTE MEDIC
731946648543,731946648543,NIFEDIPINA LP 30      MG X10
731946648567,731946648567,DICLOFENA POTAS 50+ ACETAMINOFEN500 ARTE
NULL,731946648635,BISACODYL 5 MG X 10 TAB
732064572857,732064572857,BACIPORIN  UNG DERMICO X 14.17G BRIUTCAR
732064572864,732064572864,BACIPORI CREMA TRIPLE ANTIBIO X28.0G
733739014801,733739014801,SELENIUM 100 MCG NOW 100 TAB
733739015495,733739015495,ZINC 50MG X30 TABL NOW
733739032553,733739032553,MELATONINA 3MG X 60 CAP NOW
733739035554,733739035554,MELATONIN 5MG NOW
736372230171,736372230171,LIDOCAINA 2% INY 2ML GLOBALMEDIC
736372230232,736372230232,METRONIDAZOL 500/100ML AMP I.V. GLOBAL
736372692115,736372692115,AZITROMICINA SUSPX 30ML H
736372692139,736372692139,CEFADROXILO 250ML/5ML
736372692153,736372692153,CLOTRIMAZOL 1% CREMA TOPICA H
736372692191,736372692191,LEVONORGESTREI 1.5MG X 1 TAB H
736372692221,736372692221,DICLOFENAC/TIOCOLCHICOSIDO X10 H.M
736372692290,736372692290,NITROFURAZONA30 GR H
736372692306,736372692306,CLINDAMICINA 300MG X 10 TAB H
NULL,736372722256,CARVEDILOL 6.25 MG X 30 TABL HM
NULL,736372722263,CARVEDILOL 12.5 MG X 30TABL HM
736372722294,736372722294,DICLOFENA POTASICO 100MG X 20 TAB H
NULL,736372722379,OMEPRAZOL 40 MG X 30 CAPS HM
NULL,736372722423,TRIMEBUTINA MALEATO 200 MG X 10 TAB
NULL,736372722461,ATORVASTATINA 40MG X 30TAB H
736372722485,736372722485,ATORVASTATINA 20MG X 30 TAB H
NULL,736372722492,BETAHISTINA CLORHIDRATO 16 MG X 30TAB H&
736372722508,736372722508,BUTILBROMURODE HIOSCINA 10MG X20TABL  HM
736372795755,736372795755,FLESPAN 10 MG X 20 COMP VARGAS
736372827388,736372827388,ACIDO FOLICO 10MG X1 AMP GLOBALMEDICA
736372827401,736372827401,N-BULTIBROMURO HIOSCINS/DIPIRONA AMP
738082170112,738082170112,AMOXICILINA 250 MG/5 ML X 100ML PHARMA
7401069004351,7401069004351,CLINFOL DUO 100MG/400MG X7 OVULOS ADIUM
7401078990089,7401078990089,GYNOTRAN OVULOSX 7 EXELTIS
7410000703956,7410000703956,(PEPSADEL)SUBSALICILATO BISMUTO SUSP 120
741754451822,741754451822,VITAMINA MINERALES COLAGENO X 30 CAPS
7420001113074,7420001113074,OXITETRACICLINA-POLIMIXINA B UNG.
745125571836,745125571836,CLORURO DE SODIO 0.9% X 500 ML GAMA
NULL,745125571867,OMEPRAZOL 40MG/ML AMP I.V/I.M
745604632829,745604632829,AZITROMICINA 500X3 TABL GAMA
745604632867,745604632867,CIPROFLOXACINA 500X10 TABL GAMA
7460536574377,7460536574377,NEFROTAL 50MGX30 COMP ROWE
7460840419203,7460840419203,DISTEN DUO 100MG/300MG X 30 CAP MALLEN
7460840419517,7460840419517,UROPRIN/FOSFOMICINA 3GR X 1 SOBRE MALLEN
7467217700537,7467217700537,NATABRON ANTIGRIPAL X120ML
7467217702418,7467217702418,INNOBROX CLARITROMICINA SUSP 60ML
NULL,7467217703385,ACETOMINOFEN 125MG/5ML 60ML
7467217703415,7467217703415,METRONIDAZOL 250MG SUSP X 120ML S*G
7467217703422,7467217703422,DICLOFENAC 10MG/5ML X 60ML SUSP S&G
7467217703637,7467217703637,LECHE MAGNESIA 60ML IMP
7467217704078,7467217704078,ACETAMINOFEN125G/5ML X120ML S.G
7468999187684,7468999187684,CIPROFLOXACINA 200MG X 100ML I.V ALFA
7500435107013,7500435107013,VAPORUD 50G TARRO
7500435237918,7500435237918,VITAMINA C 1G X 10TAB EFERVE CEBION
7501033962578,7501033962578,PEDIALYTE/ MANZANA X500ML
7501033962585,7501033962585,PEDIALYTE/UVA X500ML
7501033962592,7501033962592,PEDIALYTE/COCO   500ML
7501033962608,7501033962608,PEDIALYTE /FRESA X 500ML
7501125112881,7501125112881,PISACAINA 2% LIDOCAINA 20      MG /ML 
7501298225500,7501298225500,EUTHYROX 25 MICROG X 50 TAB MERCK
7501298225517,7501298225517,EUTHYROX 50MCG X50 TABLETAS MERCK
7501298225524,7501298225524,EUTHYROX 100 MICRG X 50 TAB MERCK
7501303437003,7501303437003,GYNOTRAN OVULOS X 7
7501384541194,7501384541194,SERTRALINA 50MG X14 CAP PSICOFARMA
7501384546502,7501384546502,OLANZAPINA 10MG X 14 TAB PSICOFARMA
7501384547172,7501384547172,OLANZAPINA 5MG X14 TABL PSICOFARMA
7501384548308,7501384548308,LEVODOPA/CARBIDOPA 250MG/25MG X30 PSICOF
7502213042776,7502213042776,BRUSAL/SALMETEROL 25MG X 120DOSIS INHALA
7502226296845,7502226296845,CELECOXIB 200X10CAP ALPHARMA
7510111611199,7510111611199,KETOCONAZOL SHAMPO AL 2%  SAN LORENZO
75321,75321,HIDROCORTISONA 1% CREMA 15 G  BALAXI
756029628236,756029628236,ACIDO VALPROICO 500MG X14 TABL LATTAN
756029628304,756029628304,BUSCALATT ( HIOSCINA) X 10 TAB
756029628335,756029628335,LATTFLON/DIOSMINA/HESPERIDINA X30 LATTAN
7581441131582,7581441131582,OTINUV OTICO 20MG/3.5MG X5ML NUVILLE
7590027000167,7590027000167,AMOXICILINA SUSP 250      MG X45ML SPE
7590027000495,7590027000495,DICLOFENAC GEL X 15 GR 1,16% SPEFA
7590027000563,7590027000563,FLUCONAZOL TAB 150      MG X2  SPEFAR
7590027000990,7590027000990,VALSARTAN 160MG X 20 CAP  SPEFA
7590027001249,7590027001249,MELOXICAM 15MG X10 COMP SPEFAR
7590027001300,7590027001300,CLARITROMICINA TAB 500      MG X 10
7590027001362,7590027001362,KETOPROFENO TAB 100      MG X 10 SPEFA
7590027001454,7590027001454,SULTAMICILINA TAB 750        MG X 6 SP
7590027002093,7590027002093,GABAPENTINA 300MGX20 CAP SPEFAR
7590027002109,7590027002109,GABAPENTINA 400MG X20CAP SPEFAR
7590027002123,7590027002123,METFORMINA 850MG X30 COMP SPEFAR
7590027002222,7590027002222,AMBROXOL/LORATADINA 30MG/5ML X 60ML JBE
7590027002314,7590027002314,LEVOFLOXACINA 750 MG X 5 COMP SPEFAR
7590027002390,7590027002390,SECNIDAZOL SPEFAR COMP.1G X 2'
7590027002406,7590027002406,SECNIDAZOL SPEFAR 500X4COMP
