codigo,codbarras,descrip1art
NULL,7591821802957,NINAZO GTS ADLT x 15 ml
NULL,7591821901179,RINOLAST TAB 120 MG X 10
NULL,7591821901377,RINOLAST D SUSP X 120 ML
NULL,7591821901964,VALPRON JBE 250mg/5ml x 180ml
NULL,7591821901971,VALPRON SOL X 30 ML
NULL,7591821902534,COLYPAN 300MG LP
NULL,7591821903234,TAPAZOL TAB 5 MG X 60
NULL,7591821903616,NEURIXA 75MG X 14 CAPS
NULL,7591821903944,DOTRON SUSPENSION 1,8ML
NULL,7591821904293,FITEX 20mg
NULL,7591821904309,FITEX 20MG X 2 COMP
NULL,7591955000045,BARGONIL UNG RCTAL X 10 GR
NULL,7591955000052,BARGONIL UNG 2% X 30GR
NULL,7591955000113,CLENBUNAL JBE PED 0.005 MG X 120
NULL,7591955000151,CLENBUXOL JBE 0,01MG/5ML X 120 ML
NULL,7591955000489,FLEMICAINE SOL TPCO DENT X 5 ML
NULL,7591955000496,FLODONT UNG BUCAL X 15 GR
NULL,7591955000502,FLODONT ENJUAGUE BUCAL X 180 ML
NULL,7591955000663,PRAXONA TAB X 10
NULL,7591955000762,TRIDETARMON CREM X 15 GR
NULL,7591955001264,FERGANIC JBE X 120 ML
NULL,7591955001271,FERGANIC SOL GTA X 15 ML
NULL,7591955001288,GULAPER JBE AD 250 MG X 120 ML
NULL,7591955001295,GULAPER JBE PED 100 MG X 120 ML
NULL,7591955001301,GULAPER GOTAS PED x 30ml
NULL,7591955001486,PROTOSULFIL - SULFADIAZINA CREM X 30 GR
NULL,7591955002278,POLI OTICO GTA X 5 ML
NULL,7591955002421,FERGANIC CAP 40 MG X 14
NULL,7591955002452,GRAUSIN JBE X 120 CC
NULL,7591955002797,FERGANIC FOLIC TAB MAST40MG/ X 20
NULL,7591955002803,FERGANIC FOLIC JBE 40MG/360 X120ML
NULL,7591955003053,FERGANIC FOLIC TABM X 30
NULL,7591955003077,FERGANIC FOLIC GTA 42MG/80ML X 30ML
NULL,7591955003091,ANASMOL - WARFARINA COM 5 MG X 30
NULL,7591955558256,NEFROTAL COMR 100MGX14
NULL,7591955558263,NEFROTAL H 100MG-25MG X 30COMP ROWE
NULL,7591955558287,NEFROTAL H COMP 100/12.5mg x30
NULL,7592020119341,CLARITROMICINA 250MG /5ML SUP FAHD
